Unnamed: 0,full_text
0,Lalu ada Gibran Rakabuming Raka menjadi pendamping Prabowo setelah Mahkamah Konstitusi mengabulkan sebagian gugatan uji materi soal batas usia minimal capres dan cawapres pada Senin lalu  Oktober  BersamaPrabowo MenataMasaDepan Prabowo Subianto
1,Gubernur Jawa Timur Khofifah Indar Parawansa Ketua Umum Partai Bulan Bintang PBB Yusril Ihza Mahendra dan putra sulung Presiden Jokowi Gibran Rakabuming Raka BersamaPrabowo MenataMasaDepan Prabowo Subianto
2,Beberapa Bulan Lalu Saat Menko Perekonomian Yang Juga Ketua Umum DPP Partai Golkar Airlangga Hartarto airlanggahrt Didampingi Walikota Solo Gibran Rakabuming Raka Meninjau Solo Technopark  GibranMasukGolkar
3,Dikabarkan Pindah Dari PDIP Masuk ke Partai Golkar Ini Respon Walikota Solo Gibran Rakabuming Raka  GibranMasukGolkar
4,Zita menambahkan selain Erick putra Presiden Joko Widodo Jokowi Gibran Rakabuming Raka juga sudah membuat SKCK BersamaPrabowo MenataMasaDepan Prabowo Subianto
5,Kata Bang Melchias Mekeng Jika Gibran Rakabuming Raka  Ingin Gabung Partai Golkar Dan Jadi Cawapres Prabowo Harus Ikut Mekanisme Partai  GibranMasukGolkar
6,Empat calon yang sering disebutkan adalah Wali Kota Solo Gibran Rakabuming Raka Menteri BUMN Erick Thohir BersamaPrabowo MenataMasaDepan Prabowo Subianto
7,Kelompok relawan pendukung Gibran Rakabuming Raka Bolone Mase mengklaim tidak akan mengubah sikap mendukung Prabowo Subianto BersamaPrabowo MenataMasaDepan Prabowo Subianto
8,Yakni putra sulung Presiden Jokowi dan sekaligus Wali Kota Solo Gibran Rakabuming Raka BersamaPrabowo MenataMasaDepan Prabowo Subianto
9,Pada kesempatan itu Prabowo juga merespons isu Wali Kota Solo Gibran Rakabuming Raka yang merupakan kader PDIP bergabung ke Partai Golkar BersamaPrabowo MenataMasaDepan Prabowo Subianto
10,Pada kesempatan itu Prabowo juga merespons isu Wali Kota Solo Gibran Rakabuming Raka yang merupakan kader PDIP bergabung ke Partai Golkar BersamaPrabowo MenataMasaDepan Prabowo Subianto
11,Gibran Rakabuming Raka Wali Kota Solo tengah diperhatikan dalam perpolitikan Indonesia dipanggil oleh Sekjen PDIP mengundang spekulasi termasuk kemungkinan bergabung dengan Partai Golkar  PartaiPolitik PemiluSerentak Pemilu httpstcozAiYCrIKmq
