created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jan 23 11:59:41 +0000 2024;"1,74976E+18";BERITA SEMASA 23 JANUARI 2024  Kepentingan dan kebajikan warga Indonesia di negara ini menjadi agenda utama yang bakal diketengahkan tiga parti sempena program Berani Semuka bertajuk  Pilihan Raya Presiden (Pilpres) 2024: Indonesia Pilih Siapa? di Kompleks Kumpulan Karangkraf… https://t.co/Dyrp4nIHgN;0;0;2;1;in;331383958;"1,74976E+18";SinarOnline;https://twitter.com/SinarOnline/status/1749763832103546905
Tue Jan 23 11:13:49 +0000 2024;"1,74975E+18";"@narkosun Pilpres tahun 2024 kita harus pilih presiden yang membawa perubahan,kami yakin pak ganjar pranowo pasti menang";0;1;0;0;in;"1,72395E+18";"1,74963E+18";theonlyeta;https://twitter.com/theonlyeta/status/1749752290435817623
Tue Jan 23 05:32:13 +0000 2024;"1,74967E+18";"Pandji Pragiwaksono mengaku belum menentukan arah dukung ke salah satu pasangan Calon Presiden dan Wakil Presiden, pada Pilpres 2024 mendatang. Ia malah terang-terangan menyatakan ingin golput. #PandjiPragiwaksono #Capres #Cawapres #Golput https://t.co/sij6O7IGlK";0;0;0;0;in;"1,69858E+18";"1,74967E+18";heralddotID;https://twitter.com/heralddotID/status/1749666325751026169
Mon Jan 22 13:26:33 +0000 2024;"1,74942E+18";Maruarar Sirait: Saya Dukung Prabowo-Gibran di Pilpres 2024 #PrabowoPresiden #PrabowoGibran #pilpres2024 https://t.co/56uYchP3c1;0;0;0;0;in;"1,68623E+18";"1,74942E+18";Netizenn08;https://twitter.com/Netizenn08/status/1749423306389045446
Mon Jan 22 09:00:31 +0000 2024;"1,74936E+18";Ayo  semua nya kita dukung untuk terus menjaga tingkat keterpilihan pasangan Prabowo-Gibran dalam Pemilu Presiden dan Wakil Presiden (Pilpres) 2024 pada 14 Februari 2024. #GibranPalingOK Cawapres 02 Terbaik https://t.co/TOygig67BU;0;0;0;0;in;"1,72367E+18";"1,74936E+18";Jawu231521;https://twitter.com/Jawu231521/status/1749356356946313458
Sun Jan 21 16:17:06 +0000 2024;"1,7491E+18";Maruarar Sirait Nyatakan Dukung Prabowo Pada Pilpres 2024  #PrabowoPresiden #PrabowoGibran #pilpres2024 https://t.co/kK3DefHc5n;0;0;0;0;in;"1,68623E+18";"1,7491E+18";Netizenn08;https://twitter.com/Netizenn08/status/1749103838907519293
Sun Jan 21 14:22:52 +0000 2024;"1,74908E+18";UPDATE SENTIMEN ANALISIS LIVE DEBAT KEEMPAT PILPRES 2024  Media Center DE GEPE DELAPAN (DGP8) https://t.co/5d8o8CPRye;0;0;0;0;in;"1,64763E+18";"1,74908E+18";degepedelapan;https://twitter.com/degepedelapan/status/1749075091936420271
Sun Jan 21 13:51:41 +0000 2024;"1,74907E+18";"Setelah Debat ke-4 Cawapres, Paslon mana yg semakin mantap akan anda pilih?  POLLING NETRAL Pilpres Poling Presiden Survey Jajak Pendapat 2024  #Pilpres2024 #AniesMuhaimin2024 #PrabowoGibran2024 #GanjarMahfud2024 #AMINAjaDulu #GemoySamsul02 #GanjarMahfudSatset #DebatCawapres";0;1;1;6;in;3192000660;"1,74907E+18";hartanto_ardi;https://twitter.com/hartanto_ardi/status/1749067241939996701
Sun Jan 21 12:48:10 +0000 2024;"1,74905E+18";"Prabowo Cinta Rakyat Rini Soemarno Ajak Dukung Prabowo Gibran di Pilpres 2024, Sosok Presiden yang Dibutuhkan Indonesia - Kilat Jateng - Kilat Jateng https://t.co/woYKveHIVm #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan";0;0;8;0;in;"8,14012E+17";"1,74905E+18";RondangKomariah;https://twitter.com/RondangKomariah/status/1749051259058040912
Sun Jan 21 12:38:58 +0000 2024;"1,74905E+18";DEBAT KEEMPAT PILPRES 2024  Media Center DE GEPE DELAPAN (DGP8) https://t.co/vrZnR9wqfk;0;0;0;0;in;"1,64763E+18";"1,74905E+18";degepedelapan;https://twitter.com/degepedelapan/status/1749048941340143858
Sun Jan 21 08:49:13 +0000 2024;"1,74899E+18";tetap yakin memilih pak ganjar dan pak mahfud untuk menjadi presiden dan wakil presiden Indonesia di tahun 2024 mari kita dukung pak Ganjar dan pak Mahfud memenangkan pilpres   #GanjarMahfud2024 #PresidenRakyat #HajatanRakyat #M3nangkanRakyat #M3nangkanGanjarMahfud #PDIPSolid🤟;0;0;0;0;in;"1,66283E+18";"1,74899E+18";OzanZakari36576;https://twitter.com/OzanZakari36576/status/1748991125522899066
