"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sat Jan 20 08:37:37 +0000 2024","1748625819264840186","Dulu Slank dukung @jokowi di 2014 dan 2019. Sekarang Slank dukung Ganjar-Mahfud. Orag baik dukung orang baik!  Slank Resmi Deklarasi Dukung @ganjarpranowo @mohmahfudmd di Pilpres 2024. Gasspolll Slank M3nangkan Ganjar - Mahfud 2024 🔥🔥🔥 https://t.co/lUYjEqvmyv","14","158","159","949","in","2156465923","1748625819264840186","yusuf_dumdum","https://twitter.com/yusuf_dumdum/status/1748625819264840186","https://pbs.twimg.com/amplify_video_thumb/1748625444013035520/img/ateN62p-sycH96fZ.jpg","Indonesia"
"Sat Jan 20 07:35:18 +0000 2024","1748610135482917278","#SlankerDukungGanjar Slank dukung @ganjarpranowo- @mohmahfudmd menangi Pilpres 2024  Grup musik Slank memberikan dukungan kepada pasangan capres-cawapres nomor urut 3  Ganjar Pranowo-Mahfud Md  untuk meraih kemenangan pada Pemilu 2024.  Dukungan untuk pasangan calon… https://t.co/gvsO8MrT86","1","29","7","36","in","435004096","1748610135482917278","Aryprasetyo85","https://twitter.com/Aryprasetyo85/status/1748610135482917278","https://pbs.twimg.com/ext_tw_video_thumb/1748610067887534080/pu/img/8-VeR4uewqAE128Q.jpg","Central Java, Indonesia"
"Mon Jan 22 14:39:51 +0000 2024","1749441753193582944","Di Hadapan Ganjar  Ketum PGI: Kami Pimpinan Gereja Sudah Tahu Mau Pilih Siapa   #3sakti #GanjarMahfud  #GanjarPranowo #GanjarMahfud2024 #KampanyeAkbar #m3nangtotal #SatSet #TasTes #Pemilu2024 #Pilpres2024 #Gereja #PGI #GomarGultom  https://t.co/B739wSZ5Cw","0","0","11","8","in","909641924650270720","1749441753193582944","Ganjar_Mahfud","https://twitter.com/Ganjar_Mahfud/status/1749441753193582944","","Jakarta Capital Region"
"Mon Jan 22 04:45:00 +0000 2024","1749292052196872647","Sejumlah pejabat rela mengundurkan diri demi berjuang bersama Ganjar-Mahfud memenangkan Pilpres 2024 https://t.co/BUpqiWkYrD","1","93","19","210","in","132078023","1749292052196872647","officialinews_","https://twitter.com/officialinews_/status/1749292052196872647","","iNews Tower"
"Tue Jan 23 10:15:57 +0000 2024","1749737727392940426","jangan gentar ada ganjar  jangan takut ada Mahfud ingatt pilih no 3   #TetapPuan #MbakPuan #PuanMaharani #PDIPerjuangan #Pemilu2024 #Pilpres2024 https://t.co/zeyrhHZBYi","0","0","1","0","in","1646720986698645504","1749737727392940426","puan_didepan2","https://twitter.com/puan_didepan2/status/1749737727392940426","https://pbs.twimg.com/ext_tw_video_thumb/1749737469451595776/pu/img/HAJLhGo2fVl5TmJb.jpg",""
"Sat Jan 20 14:25:41 +0000 2024","1748713412417466833","Slank deklarasi dukung Ganjar-Mahfud pada Pilpres 2024.  Tonton selengkapnya: https://t.co/MvLk4Zylx3 https://t.co/44GNH7RqPj","26","36","9","35","in","18071520","1748713412417466833","antaranews","https://twitter.com/antaranews/status/1748713412417466833","https://pbs.twimg.com/ext_tw_video_thumb/1748713331089924096/pu/img/W7zG0a0FyLbcx8r7.jpg","NKRI"
"Mon Jan 22 09:26:08 +0000 2024","1749362802895270119","Dukung Ganjar Mahfud dengan Visi Misi Jelas Biar Negara Gak Rugi. Yang bener aje  rugi dong kita!  #GanjarMahfud2024  #GanjarMahfud  #Pilpres2024  #OptimisIndonesiaMaju  #MahfudMD #SahabatGanjar https://t.co/QMYTOqqtoT","0","4","6","2","in","1700149852468822016","1749362802895270119","partiselir","https://twitter.com/partiselir/status/1749362802895270119","https://pbs.twimg.com/ext_tw_video_thumb/1749362703536467968/pu/img/7cPTwqk08W4aMqjG.jpg",""
"Sat Jan 20 04:02:20 +0000 2024","1748556539777184239","Wah khabar gembira nih guys !!! Slank mantap ambil sikap di Pilpres 2024 siang ini bakal deklarasi dukung Ganjar-Mahfud di Potlot https://t.co/5VTaAM2ulZ","0","67","24","29","in","1247512756925763589","1748556539777184239","akupadi5","https://twitter.com/akupadi5/status/1748556539777184239","https://pbs.twimg.com/ext_tw_video_thumb/1748556415885819904/pu/img/8xDCJzRL5D2mE8xX.jpg","Ahokers 🤟🤟🤟"
"Fri Jan 19 13:31:10 +0000 2024","1748337306027852223","Alasan Maruarar Dukung Prabowo-Gibran di Pilpres 2024  Singgung Hal Baik Jokowi https://t.co/ToLAToY8X3","12","75","34","152","in","71436318","1748337306027852223","KompasTV","https://twitter.com/KompasTV/status/1748337306027852223","","Indonesia"
"Tue Jan 23 08:18:25 +0000 2024","1749708149228224850","Alasan saya akan pilih Paslon No 01 di Pilpres 2024.  1. Saya tertarik dengan sosok Anies yg saya nilai mampu dan punya konsep kuat memperbaiki Indonesia.  2. Ketika Gibran jadi Cawapres Prabowo  pilihanku semakin mantap. Saya nilai PS hanya ingin menang  tapi tak punya konsep.","0","0","22","46","in","1372686617471688705","1749708149228224850","saidi_sudarsono","https://twitter.com/saidi_sudarsono/status/1749708149228224850","",""
